,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
59,PT,HRZ,ALM-00013,True,Estr. Q.ta da Carcereira,Almada,PRT,2820-246,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:03:44Z,38.631450,-9.177034,PT*HRZ*ALM*00013*02,ALM-00013-02,AVAILABLE,2021-05-07T12:37:20Z,ALM-00013-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
60,PT,MOB,ALM-00014,True,Praia da Rainha,Almada,PRT,2825-308,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:12Z,38.61693,-9.21659,PT*MOB*ALM*00014*2,ALM-00014-2,AVAILABLE,2021-05-07T11:46:21Z,ALM-00014-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
61,PT,MOB,ALM-00022,True,Avenida da República,Almada,PRT,2815-800,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:05:09Z,38.64839,-9.18345,PT*MOB*ALM*00022*02,ALM-00022-02,AVAILABLE,2021-05-04T17:12:04Z,ALM-00022-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
62,PT,MOB,ALM-00023,True,Avenida Antonio Jose Gomes,Almada,PRT,2805-086,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:39Z,38.67221,-9.15604,PT*MOB*ALM*00023*02,ALM-00023-02,AVAILABLE,2021-05-07T20:31:43Z,ALM-00023-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
63,PT,EVP,ALM-00029,True,"Base Naval de Lisboa, Direção de Transportes S/N",Almada,PRT,2810-001,PARKING_LOT,Europe/Lisbon,BTN,2021-02-23T08:59:55Z,38.665022,-9.150827,PT*EVP*ALM*00029*2,ALM-00029-2,UNKNOWN,2021-02-23T08:37:44Z,ALM-00029-2-1,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
64,PT,MOB,ALM-00035,True,Estrada do Caminho Municipal 1011,Almada,PRT,2810-354,PARKING_LOT,Europe/Lisbon,BTN,2017-08-30T18:48:58Z,38.6593,-9.17533,PT*MOB*ALM*00035*2,ALM-00035-2,UNKNOWN,2016-08-29T15:11:43Z,ALM-00035-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
65,PT,MOT,ALM-00036,True,Rua Sergio Malpique 2,Almada,PRT,2810-500,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:04:47Z,38.660219,-9.175798,PT*MOT*ALM*00036*02,ALM-00036-02,AVAILABLE,2021-05-07T20:18:39Z,ALM-00036-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
66,PT,MOT,ALM-00037,True,Rua Sergio Malpique 2,Almada,PRT,2810-500,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:04:22Z,38.659986,-9.175478,PT*MOT*ALM*00037*02,ALM-00037-02,AVAILABLE,2021-05-07T20:54:53Z,ALM-00037-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
67,PT,EDP,ALM-00038,True,R. António Andrade - Antiga EN 377 - Km 10 1169,Almada,PRT,2725-079,PARKING_LOT,Europe/Lisbon,MT,2021-05-08T00:05:10Z,38.612953,-9.189023,PT*EDP*ALM*00038*02,ALM-00038-02,AVAILABLE,2021-05-07T22:23:10Z,ALM-00038-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
68,PT,GLG,ALM-00040,True,"Lugar Da Regateira, Via L-3",Almada,PRT,2820-194,ALONG_MOTORWAY,Europe/Lisbon,BTE,2021-05-08T00:04:41Z,38.635833,-9.195833,PT*GLG*ALM*00040*03,ALM-00040-03,AVAILABLE,2021-05-07T21:16:31Z,ALM-00040-03-01,IEC_62196_T2,CABLE,AC_3_PHASE,400,63,43000
69,PT,GLP,ALM-90001,True,Largo Alfredo Diniz,Almada,PRT,2800-252,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:03:34Z,38.68756,-9.14772,PT*GLP*ALM*90001*02,ALM-90001-02,AVAILABLE,2021-05-07T23:45:12Z,ALM-90001-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
70,PT,HRZ,ALM-90003,True,Avenida Dom Nuno Álvares Pereira 35,Almada,PRT,2800-179,ON_STREET,Europe/Lisbon,BTN,2021-04-22T15:45:20Z,38.6791,-9.15828,PT*HRZ*ALM*90003*2,ALM-90003-2,UNKNOWN,2021-04-22T01:06:02Z,ALM-90003-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,16,22000
71,PT,HRZ,ALM-90009,True,Rua da Liberdade 45,Almada,PRT,2805-353,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:20Z,38.673725,-9.161796,PT*HRZ*ALM*90009*02,ALM-90009-02,CHARGING,2021-05-07T22:59:26Z,ALM-90009-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
72,PT,GLP,ALM-90010,True,Praça João Raimundo,Almada,PRT,2805-336,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:05:06Z,38.667286,-9.160791,PT*GLP*ALM*90010*2,ALM-90010-2,AVAILABLE,2021-05-07T07:53:38Z,ALM-90010-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
73,PT,HRZ,ALM-90012,True,Rua Catarina Eufémia,Almada,PRT,2805-114,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:14Z,38.647495,-9.240781,PT*HRZ*ALM*90012*02,ALM-90012-02,AVAILABLE,2021-05-07T23:50:03Z,ALM-90012-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
74,PT,GLP,ALM-90015,True,Avenida General Humberto Delgado,Almada,PRT,2825-278,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:03:37Z,38.64117,-9.23653,PT*GLP*ALM*90015*02,ALM-90015-02,CHARGING,2021-05-07T23:18:53Z,ALM-90015-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
75,PT,GLP,ALM-90019,True,Rua Francisco Costa,Almada,PRT,2825-182,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:02Z,38.66216,-9.20152,PT*GLP*ALM*90019*02,ALM-90019-02,CHARGING,2021-05-07T23:47:49Z,ALM-90019-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
76,PT,HRZ,ALM-90020,True,Praia do Rei,Almada,PRT,2825-491,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:21Z,38.60687,-9.2101,PT*HRZ*ALM*90020*2,ALM-90020-2,AVAILABLE,2021-05-07T22:55:35Z,ALM-90020-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
77,PT,KLC,ALM-90021,True,Rua Abel Salazar,Almada,PRT,2805-313,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:17Z,38.67035,-9.17038,PT*KLC*ALM*90021*02,ALM-90021-02,AVAILABLE,2021-05-08T00:04:17Z,ALM-90021-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
78,PT,KLC,ALM-90024,True,Rua de Marco Cabaço,Almada,PRT,2820-266,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:13Z,38.61761,-9.19113,PT*KLC*ALM*90024*2,ALM-90024-2,CHARGING,2021-05-07T23:23:18Z,ALM-90024-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
79,PT,GLP,ALM-90025,True,Alameda de Guerra Junqueiro,Almada,PRT,2810-075,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:11Z,38.65767,-9.16001,PT*GLP*ALM*90025*2,ALM-90025-2,AVAILABLE,2021-05-08T00:04:11Z,ALM-90025-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
80,PT,HRZ,ALM-90026,True,Rua Joaquim Pires Jorge 7,Almada,PRT,2810-083,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:04:27Z,38.6545,-9.16793,PT*HRZ*ALM*90026*02,ALM-90026-02,CHARGING,2021-05-07T23:33:58Z,ALM-90026-02-01,IEC_62196_T2,SOCKET,AC_1_PHASE,230,16,3700
81,PT,GLP,ALM-90027,True,Avenida Arsenal do Alfeite,Almada,PRT,2810-025,ON_STREET,Europe/Lisbon,BTN,2021-05-08T00:03:13Z,38.66308,-9.16541,PT*GLP*ALM*90027*02,ALM-90027-02,OUTOFORDER,2021-05-07T21:29:20Z,ALM-90027-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
