ChargingStation,Unit,Value,MinLevelValue,MaxLevelValue
CSC-00056,charge,0.1,0,NA
CSC-00056,min,0.03,0,NA
CSC-00057,min,0.01,0,NA
CSC-00059,min,0.105,0,NA
CSC-90002,kWh,0.1,0,NA
CSC-90003,min,0.009,0,NA
CSC-90004,min,0.004,0,NA
CSC-90006,min,0.004,0,NA
CSC-90007,min,0.0046,0,NA
CSC-90008,min,0.004,0,NA
CSC-90009,min,0.005,0,NA
CSC-90010,min,0.0046,0,NA
CSC-90012,min,0.0046,0,NA
CSC-90013,min,0.004,0,NA
CSC-90014,min,0.006,0,NA
CTB-00010,min,0.035,0,NA
CTB-90001,min,0.01,0,NA
CTB-90002,min,0.006,0,NA
CTB-90003,min,0.009,0,NA
CTB-90004,min,0.009,0,NA
CTB-90005,min,0.006,0,NA
CTB-90006,min,0.0046,0,NA
CTB-90007,min,0.006,0,NA
CTM-90001,min,0.025,0,NA
CTX-90001,kWh,0.1,0,NA
CVD-90001,kWh,0.1,0,NA
CVL-00002,min,0.1,0,NA
CVL-00003,min,0.015,0,NA
CVL-00004,min,0.015,0,NA
CVR-00002,min,0.105,0,NA
CVR-00003,min,0.035,0,NA
CVR-90001,min,0.02,0,NA
ELV-00002,min,0.015,0,NA
ELV-00003,min,0.015,0,NA
ELV-00004,min,0.08,0,NA
ELV-90001,kWh,0.1,0,NA
ENT-00002,min,0.1,0,NA
ENT-90001,min,0.025,0,NA
ESP-90001,min,0.025,0,NA
ETR-00001,min,0.1,0,NA
ETR-00002,min,0.1,0,NA
ETR-00004,kWh,0.1,0,NA
ETR-90003,min,0.025,0,NA
ETZ-00005,min,0.03,0,NA
EVDA-00001,charge,1,0,NA
EVDA-00001,kWh,0.06,0,NA
EVDA-00002,charge,1,0,NA
EVDA-00002,kWh,0.06,0,NA
EVDA-00003,charge,1,0,NA
EVDA-00003,kWh,0.06,0,NA
EVR-00002,min,0,0,NA
EVR-00004,min,0,0,NA
EVR-00005,min,0,0,NA
EVR-00008,min,0,0,NA
EVR-00009,min,0,0,NA
EVR-00011,min,0.08,0,NA
EVR-00014,min,0,0,NA
EVR-00015,min,0,0,NA
EVR-00017,min,0.08,0,NA
EVR-00018,min,0.1,0,NA
EVR-90001,min,0.006,0,NA
EVR-90003,min,0.006,0,NA
EVR-90006,min,0.005,0,NA
EVR-90007,min,0.0037,0,NA
EXPO-00001,min,0.03,0,NA
EXPO-00002,min,0.03,0,NA
EXPO-00003,min,0.03,0,NA
EXPO-00004,min,0.03,0,NA
FAF-00003,min,0.09,0,NA
FAF-00004,min,0.05,0,NA
FAF-90001,kWh,0.1,0,NA
FAG-90001,min,0,0,NA
FAL-00001,min,0,0,NA
FAR-00002,min,0,0,NA
FAR-00004,min,0,0,NA
FAR-00007,min,0,0,NA
FAR-00009,min,0.03,0,NA
FAR-00015,min,0,0,NA
FAR-00019,charge,0.1,0,NA
FAR-00019,min,0.025,0,NA
FAR-00021,min,0.1,0,NA
FAR-00022,min,0.015,0,NA
FAR-00023,min,0.015,0,NA
FAR-00024,min,0.102,0,30
FAR-00024,min,0.163,30,NA
FAR-00025,min,0.015,0,NA
FAR-90001,min,0.0046,0,NA
FAR-90003,min,0.006,0,NA
FAR-90005,min,0.0037,0,NA
FAR-90006,min,0.009,0,NA
FAR-90008,kWh,0.1,0,NA
FCR-90001,min,0.02,0,NA
FCT-00003,min,0.03,0,NA
FCT-00004,min,0.03,0,NA
FEC-90001,min,0.031,0,NA
FEUP-00001,min,0.105,0,NA
FEUP-00002,min,0.105,0,NA
FIG-00002,min,0.095,0,NA
FIG-90003,min,0.031,0,NA
FLG-00001,min,0,0,NA
FLG-00003,min,0.08,0,NA
FND-00002,charge,0.5,0,NA
FND-00002,min,0.15,0,NA
FND-00003,charge,0.5,0,NA
FND-00003,min,0.15,0,NA
FND-90001,min,0.029,0,NA
FTR-90001,kWh,0.1,0,NA
FUN-00002,min,0.04,0,NA
FUN-00003,min,0.03,0,NA
FUN-00004,min,0.025,0,NA
FUN-00005,min,0.025,0,NA
FUN-00006,min,0,0,NA
FUN-00007,min,0,0,NA
FUN-00008,min,0,0,NA
FUN-00009,min,0,0,NA
FUN-00010,min,0,0,NA
FUN-00011,min,0,0,NA
FUN-00012,min,0,0,NA
FUN-00013,min,0,0,NA
FUN-00014,min,0,0,NA
FUN-00015,min,0,0,NA
FUN-00016,min,0,0,NA
FUN-00020,min,0.03,0,NA
FVN-90001,min,0.029,0,NA
FZZ-00002,min,0.035,0,NA
FZZ-90001,min,0.025,0,NA
GALP-00001,min,0.035,0,NA
GAV-90001,min,0.02,0,NA
GDL-00002,min,0.01,0,NA
GDL-00004,min,0.08,0,NA
GDM-00003,min,0.1,0,NA
GDM-00004,min,0.08,0,NA
GLG-90001,min,0.02,0,NA
GMR-00001,min,0,0,NA
GMR-00002,min,0,0,NA
GMR-00004,min,0.08,0,NA
GMR-00006,min,0,0,NA
GMR-00008,min,0.05,0,NA
GMR-00009,min,0.105,0,NA
GMR-00013,min,0.105,0,NA
GMR-00014,min,0,0,NA
GMR-00015,min,0.025,0,NA
GMR-00016,min,0,0,NA
GMR-00021,min,0.09,0,NA
GMR-00022,min,0.05,0,NA
GMR-90003,min,0.009,0,NA
GMR-90005,min,0.0046,0,NA
GMR-90007,min,0.005,0,NA
GMR-90012,min,0.009,0,NA
GOI-90001,min,0.025,0,NA
GOV-UK-00001,min,0.02,0,NA
GRD-00003,min,0,0,NA
GRD-00007,min,0.105,0,NA
GRD-00008,min,0.105,0,NA
GRD-00009,min,0.035,0,NA
GRD-00010,min,0.035,0,NA
GRD-90001,min,0.011,0,NA
GRD-90002,min,0.0037,0,NA
GRD-90004,min,0.009,0,NA
GRD-90005,min,0.006,0,NA
HE-BRG-00001,min,0.015,0,120
HE-BRG-00001,min,0.03,120,NA
HE-BRG-00002,min,0.015,0,120
HE-BRG-00002,min,0.03,120,NA
HF-00001,kWh,0.01,0,NA
HF-00002,kWh,0.01,0,NA
HF-00003,kWh,0.01,0,NA
HRT-00001,min,0.074,0,NA
IP-LSB-00001,min,0,0,NA
IP-LSB-00002,min,0,0,NA
ISEP-00001,charge,0.25,0,NA
ISEP-00001,min,0.03,0,NA
LAG-00001,min,0.03,0,NA
LGA-00003,min,0,0,NA
LGA-00004,min,0.102,0,30
LGA-00004,min,0.163,30,NA
LGA-00005,min,0.03,0,NA
LGA-00006,min,0.03,0,NA
LGA-00007,min,0.08,0,NA
LGA-90001,kWh,0.1,0,NA
LGF-00001,min,0.074,0,NA
LGS-00001,min,0,0,NA
LGS-00002,min,0.105,0,NA
LGS-00003,min,0.105,0,NA
LGS-00004,min,0.02,0,NA
LGS-00006,charge,0.1,0,NA
LGS-00006,min,0.03,0,NA
LGS-00007,charge,0.1,0,NA
LGS-00007,min,0.03,0,NA
LGS-00009,min,0.08,0,NA
LGS-00010,min,0.08,0,NA
LIP-00001,min,0.03,0,NA
LLE-00001,min,0,0,NA
LLE-00002,min,0.105,0,NA
LLE-00003,min,0.105,0,NA
LLE-00004,min,0.01,0,NA
LLE-00005,min,0.01,0,NA
LLE-00006,min,0,0,NA
LLE-00009,min,0,0,NA
LLE-00010,min,0.04,0,NA
LLE-00011,min,0.04,0,NA
LLE-00012,min,0.04,0,NA
LLE-00013,min,0.04,0,NA
LLE-00014,min,0.04,0,NA
LLE-00015,min,0.095,0,NA
LLE-00017,min,0,0,NA
LLE-00018,min,0,0,NA
LLE-00019,min,0,0,NA
LLE-00020,min,0,0,NA
LLE-00021,min,0.03,0,NA
LLE-00022,min,0.04,0,NA
LLE-00024,min,0.015,0,NA
LLE-00025,min,0.015,0,NA
LLE-00026,min,0.015,0,NA
LLE-00027,min,0.015,0,NA
LLE-00028,charge,0.15,0,NA
LLE-00028,kWh,0.11,0,NA
LLE-00039,min,0,0,NA
LLE-00040,min,0.08,0,NA
LLE-00041,min,0.03,0,NA
LLE-00042,min,0.03,0,NA
LLE-00043,min,0.09,0,NA
LLE-00044,min,0.015,0,NA
LLE-00045,min,0.015,0,NA
LLE-00046,min,0,0,NA
LLE-00047,min,0,0,NA
LLE-00048,min,0.0325,0,NA
LLE-00049,min,0,0,NA
LMG-00001,min,0,0,NA
LMG-00002,min,0.03,0,NA
LMG-00003,min,0.03,0,NA
LMG-00005,min,0,0,NA
LMG-00006,min,0,0,NA
LMG-00007,min,0.04,0,NA
LMG-00008,min,0.1,0,NA
LMG-90004,min,0.025,0,NA
LNH-90001,min,0.031,0,NA
LOU-00003,min,0.03,0,NA
LOU-00004,min,0.03,0,NA
LOU-90001,min,0.02,0,NA
LRA-00003,min,0,0,NA
LRA-00007,min,0,0,NA
LRA-00009,min,0,0,NA
LRA-00010,min,0,0,NA
LRA-00012,charge,0.5,0,NA
LRA-00012,min,0.15,0,NA
LRA-00013,charge,0.5,0,NA
LRA-00013,min,0.15,0,NA
LRA-00014,min,0.1,0,NA
LRA-00015,min,0,0,NA
LRA-00016,charge,0.489,0,NA
LRA-00016,kWh,0.162,0,NA
LRA-00017,min,0.03,0,NA
LRA-00019,min,0.035,0,NA
LRA-00020,min,0.035,0,NA
LRA-00021,min,0.08,0,NA
LRA-00022,min,0.035,0,NA
LRA-00023,min,0.035,0,NA
LRA-00024,min,0.035,0,NA
LRA-90001,min,0.0046,0,NA
LRA-90002,min,0.0046,0,NA
LRA-90004,kWh,0.1,0,NA
LRA-90005,min,0.006,0,NA
LRA-90006,min,0.0037,0,NA
LRA-90008,min,0.009,0,NA
LRA-90011,min,0.009,0,NA
LRS-00001,min,0,0,NA
LRS-00006,min,0,0,NA
LRS-00008,min,0,0,NA
LRS-00009,min,0,0,NA
LRS-00015,min,0,0,NA
LRS-00018,min,0,0,NA
LRS-00021,min,0,0,NA
LRS-00022,min,0,0,NA
LRS-00028,min,0,0,NA
LRS-00031,min,0,0,NA
LRS-00033,min,0.01,0,NA
LRS-00034,min,0.057,0,NA
LRS-00035,min,0.08,0,NA
LRS-00036,min,0.01,0,NA
LRS-00037,min,0.01,0,NA
LRS-00044,min,0.1,0,NA
LRS-00045,min,0.035,0,NA
LRS-00046,min,0.05,0,NA
LRS-00047,min,0.1,0,NA
LRS-00050,min,0.04,0,NA
LRS-90002,min,0.006,0,NA
LRS-90003,min,0.005,0,NA
LRS-90004,min,0.0037,0,NA
LRS-90005,min,0.009,0,NA
LRS-90007,kWh,0.1,0,NA
LRS-90010,min,0.009,0,NA
LRS-90011,min,0.006,0,NA
LRS-90012,min,0.0046,0,NA
LRS-90013,kWh,0.1,0,NA
LRS-90014,min,0.0046,0,NA
LRS-90016,min,0.006,0,NA
LRS-90017,min,0.005,0,NA
LRS-90019,min,0.0037,0,NA
LRS-90020,min,0.009,0,NA
LRS-90023,min,0.01,0,NA
LRS-90024,min,0.009,0,NA
LRS-90025,min,0.006,0,NA
LRS-90026,min,0.0046,0,NA
LRS-90027,min,0.0046,0,NA
LRS-90029,min,0.006,0,NA
LRS-90030,min,0.005,0,NA
LRS-90032,min,0.0037,0,NA
LSA-00003,min,0.01,0,NA
LSA-90001,min,0.031,0,NA
LSB-00011,min,0.105,0,NA
LSB-00013,min,0.105,0,NA
LSB-00019,min,0.105,0,NA
LSB-00026,min,0,0,NA
LSB-00030,min,0.105,0,NA
LSB-00032,min,0,0,NA
LSB-00051,min,0,0,NA
LSB-00052,min,0.035,0,NA
LSB-00065,min,0.015,0,NA
LSB-00066,min,0.015,0,NA
LSB-00068,min,0.015,0,NA
LSB-00070,kWh,0.1,0,NA
LSB-00071,kWh,0.1,0,NA
LSB-00072,min,0.015,0,NA
LSB-00075,min,0,0,NA
LSB-00077,min,0,0,NA
LSB-00082,min,0,0,NA
LSB-00086,min,0,0,NA
LSB-00088,min,0.035,0,NA
LSB-00095,min,0.02,0,NA
LSB-00098,min,0.1,0,NA
LSB-00104,min,0.02,0,NA
LSB-00109,min,0.03,0,NA
LSB-00110,min,0,0,NA
LSB-00113,min,0.03,0,NA
LSB-00114,min,0.02,0,NA
LSB-00115,min,0.02,0,NA
LSB-00117,min,0.02,0,NA
LSB-00119,min,0.02,0,NA
LSB-00120,min,0.02,0,NA
LSB-00121,min,0.02,0,NA
LSB-00123,min,0,0,NA
LSB-00125,min,0.02,0,NA
LSB-00126,min,0.02,0,NA
LSB-00141,min,0,0,NA
LSB-00152,min,0.02,0,NA
LSB-00153,min,0.02,0,NA
LSB-00154,min,0.02,0,NA
LSB-00155,min,0.02,0,NA
LSB-00156,min,0.02,0,NA
LSB-00157,min,0.02,0,NA
LSB-00158,min,0.02,0,NA
LSB-00159,charge,0.1,0,NA
LSB-00159,min,0.03,0,NA
LSB-00160,charge,0.1,0,NA
LSB-00160,min,0.03,0,NA
LSB-00161,min,0.02,0,NA
LSB-00162,min,0.02,0,NA
LSB-00164,min,0.02,0,NA
LSB-00165,min,0.02,0,NA
LSB-00166,min,0.02,0,NA
LSB-00167,min,0.02,0,NA
LSB-00168,min,0.02,0,NA
LSB-00174,min,0.04,0,NA
LSB-00176,min,0.04,0,NA
LSB-00177,min,0.03,0,NA
LSB-00180,min,0.03,0,NA
LSB-00182,min,0.03,0,NA
LSB-00183,min,0.03,0,NA
LSB-00184,min,0.1,0,NA
LSB-00186,min,0.015,0,NA
LSB-00190,min,0.02,0,NA
LSB-00191,min,0.02,0,NA
LSB-00192,min,0.02,0,NA
LSB-00193,min,0.02,0,NA
LSB-00194,min,0.02,0,NA
LSB-00195,min,0.02,0,NA
LSB-00196,min,0.02,0,NA
LSB-00197,min,0.02,0,NA
LSB-00198,min,0.02,0,NA
LSB-00199,min,0.02,0,NA
LSB-00200,min,0.026,0,NA
LSB-00201,min,0.048,0,NA
LSB-00202,min,0.09,0,NA
LSB-00203,min,0.09,0,NA
LSB-00204,min,0.03,0,NA
LSB-00205,min,0.12,0,NA
LSB-00206,min,0.12,0,NA
LSB-00207,min,0.03,0,NA
LSB-00208,charge,1,0,NA
LSB-00208,kWh,0.06,0,NA
LSB-00209,charge,1,0,NA
LSB-00209,kWh,0.06,0,NA
LSB-00210,charge,1,0,NA
LSB-00210,kWh,0.06,0,NA
LSB-00211,charge,1,0,NA
LSB-00211,kWh,0.06,0,NA
LSB-00212,min,0.05,0,NA
LSB-00213,min,0.05,0,NA
LSB-00214,min,0.015,0,NA
LSB-00216,min,0,0,NA
LSB-00217,min,0,0,NA
LSB-00218,min,0.05,0,NA
LSB-00219,min,0.08,0,NA
LSB-00220,min,0.035,0,NA
LSB-00221,min,0.05,0,NA
LSB-00222,min,0.05,0,NA
LSB-00223,min,0.02,0,NA
LSB-00224,min,0.02,0,NA
LSB-00225,min,0.02,0,NA
LSB-00226,min,0.02,0,NA
LSB-00227,min,0.02,0,NA
LSB-00228,min,0.02,0,NA
LSB-00229,min,0.02,0,NA
LSB-00230,min,0.02,0,NA
LSB-00231,min,0.02,0,NA
LSB-00232,min,0.02,0,NA
LSB-00233,min,0.02,0,NA
LSB-00234,min,0.02,0,NA
LSB-00235,min,0.02,0,NA
LSB-00236,min,0.02,0,NA
LSB-00237,min,0.02,0,NA
LSB-00238,min,0.02,0,NA
LSB-00239,min,0.02,0,NA
LSB-00240,min,0.02,0,NA
LSB-00241,min,0.035,0,NA
LSB-00242,min,0.02,0,NA
LSB-00243,min,0.02,0,NA
