,country_code,party_id,id,publish,address,city,country,postal_code,parking_type,time_zone,mobie_voltage_level,last_updated,latitude,longitude,evse.evse_id,evse.uid,evse.status,evse.last_updated,connector.id,connector.standard,connector.format,connector.power_type,connector.max_voltage,connector.max_amperage,connector.max_electric_power
456,PT,FAC,FUN-00008,True,Estrada Comandante Camacho de Freitas - Pico dos Barcelos,Funchal,PRT,9020-148,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:03Z,32.659369,-16.940543,PT*FAC*FUN*00008*02,FUN-00008-02,CHARGING,2021-05-11T07:20:17Z,FUN-00008-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
457,PT,FAC,FUN-00009,True,Rua do Gorgulho - Lido,Funchal,PRT,9004-540,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:41Z,32.636233,-16.932341,PT*FAC*FUN*00009*02,FUN-00009-02,AVAILABLE,2021-05-11T13:54:30Z,FUN-00009-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
458,PT,FAC,FUN-00010,True,Avenida das Madalenas,Funchal,PRT,9020-331,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:04Z,32.660493,-16.930154,PT*FAC*FUN*00010*02,FUN-00010-02,AVAILABLE,2021-05-11T12:18:45Z,FUN-00010-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
459,PT,FAC,FUN-00011,True,Madeira Tecnopolo - Caminho da Penteada,Funchal,PRT,9020-105,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:13:53Z,32.659157,-16.925256,PT*FAC*FUN*00011*02,FUN-00011-02,AVAILABLE,2021-05-11T12:13:03Z,FUN-00011-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
460,PT,FAC,FUN-00012,True,Avenida do Infante,Funchal,PRT,9004-542,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:42Z,32.643922,-16.92146,PT*FAC*FUN*00012*02,FUN-00012-02,AVAILABLE,2021-05-11T12:58:11Z,FUN-00012-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
461,PT,FAC,FUN-00013,True,Caminho do Lombo Segundo,Funchal,PRT,9020-097,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:15:20Z,32.670378,-16.922107,PT*FAC*FUN*00013*02,FUN-00013-02,AVAILABLE,2021-05-08T15:53:59Z,FUN-00013-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
462,PT,FAC,FUN-00014,True,Rua 31 de Janeiro,Funchal,PRT,9050-075,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:13:39Z,32.653134,-16.91125,PT*FAC*FUN*00014*02,FUN-00014-02,AVAILABLE,2021-05-11T12:45:12Z,FUN-00014-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
463,PT,FAC,FUN-00015,True,Rua dos Ferreiros,Funchal,PRT,9000-082,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:49Z,32.650222,-16.909139,PT*FAC*FUN*00015*02,FUN-00015-02,AVAILABLE,2021-05-11T13:28:55Z,FUN-00015-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
464,PT,FAC,FUN-00016,True,Rua Nova da Igreja,Funchal,PRT,9060-206,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:15:02Z,32.64927,-16.882866,PT*FAC*FUN*00016*02,FUN-00016-02,AVAILABLE,2021-05-11T07:38:18Z,FUN-00016-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
465,PT,HRZ,FUN-00018,True,Rua Dr. Brito Câmara 9,Funchal,PRT,9000-039,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:15:20Z,32.647929,-16.914137,PT*HRZ*FUN*00018*1,FUN-00018-1,AVAILABLE,2021-05-10T15:30:16Z,FUN-00018-01-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
466,PT,HRZ,FUN-00019,True,Rua Dr. Brito Câmara 9,Funchal,PRT,9000-039,PARKING_LOT,Europe/Lisbon,MT,2021-05-11T14:15:27Z,32.647929,-16.914137,PT*HRZ*FUN*00019*2,FUN-00019-2,AVAILABLE,2021-05-08T21:05:18Z,FUN-00019-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
467,PT,EDP,FUN-00020,True,Avenida Luís de Camões,Funchal,PRT,9000-168,PARKING_LOT,Europe/Lisbon,MT,2021-03-18T17:28:35Z,32.646627,-16.922653,PT*EDP*FUN*00020*02,FUN-00020-02,UNKNOWN,2021-03-18T17:20:20Z,FUN-00020-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
468,PT,GLP,FVN-90001,True,CM1139,Figueiró dos Vinhos,PRT,3260-408,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:46Z,39.901306,-8.273167,PT*GLP*FVN*90001*2,FVN-90001-2,AVAILABLE,2021-05-11T13:26:03Z,FVN-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
469,PT,HRZ,FZZ-00002,True,Aldeamento das Varandas do Lago,Ferreira do Zêzere,PRT,2240-322,PARKING_LOT,Europe/Lisbon,BTE,2021-05-11T14:14:45Z,39.6673996,-8.2332873,PT*HRZ*FZZ*00002*02,FZZ-00002-02,AVAILABLE,2021-05-10T14:18:49Z,FZZ-00002-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
470,PT,HRZ,FZZ-90001,True,Rua Depósito da Água,Ferreira do Zêzere,PRT,2240-350,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:13:35Z,39.693846,-8.293427,PT*HRZ*FZZ*90001*2,FZZ-90001-2,AVAILABLE,2021-05-11T05:52:15Z,FZZ-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
471,PT,HRZ,GAV-90001,True,R. Eugénio Maleitas,Gavião,PRT,6040-120,ON_STREET,Europe/Lisbon,BTN,2021-05-11T14:14:39Z,39.464603,-7.937781,PT*HRZ*GAV*90001*2,GAV-90001-2,AVAILABLE,2021-05-11T00:14:25Z,GAV-90001-02-01,IEC_62196_T2,SOCKET,AC_3_PHASE,400,32,22000
